2023,9,29,w,200.5,
2023,9,29,c,2000,
2023,9,29,f,YOGURT (4OZ),1.0
2023,9,29,f,QUESTIONABLE MEAL,1.0
2023,9,30,w,10000.0,
2023,9,30,c,1000000,
2023,9,30,f,YOGURT (4OZ),1.0
2023,9,30,f,PB+J SANDWICH,1.0
2023,9,30,f,COLA (CAN),1.0
2023,9,30,f,PIZZA SLICE,3.0
2023,9,30,f,TURKEY DINNER,20.0
2024,12,3,w,200.0,
2024,12,3,c,1000,
2024,12,3,f,PIZZA SLICE,10.0
2025,10,2,w,100.0,
2025,10,2,c,100010,
2025,10,2,f,PIZZA SLICE,2.0
2024,12,1,w,200.0,
2024,12,1,c,1000,
2024,12,1,f,PIZZA SLICE,2.0
2024,12,1,e,Situps,2.0
